State,Total_Obligation,Total_Outlayed
Alabama,28500150669.65,2943892846.73
Alaska,988127732.50,256561548.30
Arizona,14554114173.40,1531027515.86
Arkansas,34091433.91,19414778.80
California,85633124577.85,20299733080.35
Colorado,17046799280.13,3726940692.88
Connecticut,9608414896.76,1282519730.38
Delaware,323827837.61,1117435936.59
"District Of Columbia",15164741914.73,11428221042.05
Florida,11147591739.88,1774562785.39
Georgia,6981527593.30,4316528672.89
Guam,238291984.20,8130547.32
Hawaii,1276986865.15,148226344.93
Idaho,16766131646.44,5699295270.98
Illinois,14792563838.73,6870227714.15
Indiana,1837388921.59,477892096.41
Iowa,1869913705.58,396895044.14
Kansas,430107670.47,79239359.06
Kentucky,4370880111.44,371691054.00
Louisiana,1995613627.14,665260444.06
Maine,3394673340.91,89228806.40
Maryland,30281013720.68,11630018356.84
Massachusetts,11386109907.32,3314593184.97
Michigan,2741123575.42,168647143.77
Minnesota,379136190.80,111168221.30
Mississippi,5594792493.41,1095499909.43
Missouri,14880305862.50,7105046106.43
Montana,163872818.19,177324466.55
Nebraska,642828214.67,1841292694.97
Nevada,1724438983.75,345539777.40
"New Hampshire",373295500.97,148355256.36
"New Jersey",7215615180.77,848744554.74
"New Mexico",30817222634.11,29605142049.13
"New York",9049198672.33,4098161229.52
"North Carolina",3527584671.93,1326753174.47
"North Dakota",358119141.64,449993511.31
"Northern Mariana Islands",109383.87,499.95
Ohio,3968605059.56,485937288.80
Oklahoma,3824550543.12,711995345.92
Oregon,153567824.49,85135173.89
Palau,75359.00,12319.84
Pennsylvania,17620822727.40,8678446344.27
"Puerto Rico",20976935.20,8128149.43
"Rhode Island",634615152.76,528125058.60
"South Carolina",18580254987.36,7087562125.30
"South Dakota",73839978.56,89165214.05
Tennessee,40588157556.71,11111189836.43
Texas,74920781833.71,9126826097.41
Utah,10950966124.09,89971436.40
Vermont,146272254.38,28050231.08
"Virgin Islands Of The U.s.",30951077.98,6359938.26
Virginia,61381664082.37,14184770828.12
Washington,29781240633.72,5303064558.82
"West Virginia",756154188.72,763058283.90
Wisconsin,4329465698.83,1981621470.15
Wyoming,18571702.61,1764636.33
