Agency_Name,Outlayed_Amount
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",35464.79
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",3812.18
"Department of Energy",260040.64
"Department of Energy",38304.06
"Department of Energy",650382.99
"Department of Energy",36833.06
"Department of Energy",56670.70
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",75201.15
"Department of Energy",220429.80
"Department of Energy",439563.67
"Department of Energy",80839.14
"Department of Energy",68762.88
"Department of Energy",135488.50
"Department of Energy",149175.95
"Department of Energy",368476.97
"Department of Energy",12000.00
"Department of Energy",16965.63
"Department of Energy",4564887.75
"Department of Energy",15447.97
"Department of Energy",74407.57
"Department of Energy",814314.41
"Department of Energy",4055027.24
"Department of Energy",1528469.00
"Department of Energy",281873.39
"Department of Energy",2589000.00
"Department of Energy",2507189.63
"Department of Energy",1129400.54
"Department of Energy",1408015.93
"Department of Energy",4485291.66
"Department of Energy",452929.22
"Department of Energy",19092340.89
"Department of Energy",656267.86
"Department of Energy",199301.97
"Department of Energy",1686682.14
"Department of Energy",81745.20
"Department of Energy",840261.21
"Department of Energy",1147228.22
"Department of Energy",2179112.00
"Department of Energy",3502936.62
"Department of Energy",279616.00
"Department of Energy",585723.97
"Department of Energy",673632.66
"Department of Energy",853670.92
"Department of Energy",1735759.11
"Department of Energy",4442980.56
"Department of Energy",2219374.94
"Department of Energy",787225.17
"Department of Energy",362085.69
"Department of Energy",7818134.84
"Department of Energy",602693.74
"Department of Energy",480685.43
"Department of Energy",444212.69
"Department of Energy",1216553.72
"Department of Energy",15853114.05
"Department of Energy",98763.80
"Department of Energy",796322.22
"Department of Energy",33341133.61
"Department of Energy",3389089.19
"Department of Energy",1484686.89
"Department of Energy",118488542.18
"Department of Energy",1968366.44
"Department of Energy",2646402.21
"Department of Energy",19304889.49
"Department of Energy",3287183.27
"Department of Energy",69424.90
"Department of Energy",9510919.53
"Department of Energy",190349.87
"Department of Energy",124225.30
"Department of Energy",2677236.39
"Department of Energy",1354366.00
"Department of Energy",374216.00
"Department of Energy",6116.67
"Department of Energy",2061451.78
"Department of Energy",3389092.24
"Department of Energy",1760362.94
"Department of Energy",2760235.56
"Department of Energy",660225.52
"Department of Energy",4076821.32
"Department of Energy",14973310.93
"Department of Energy",2211919.40
"Department of Energy",7254870.09
"Department of Energy",9198566.49
"Department of Energy",3335607.96
"Department of Energy",3664409.95
"Department of Energy",2068678.74
"Department of Energy",176889.78
"Department of Energy",4439812.35
"Department of Energy",166493.91
"Department of Energy",1634369.62
"Department of Energy",1368702.22
"Department of Energy",1037470.64
"Department of Energy",2438660.43
"Department of Energy",20434859.09
"Department of Energy",2512376.00
"Department of Energy",239196.00
"Department of Energy",188232.12
"Department of Energy",312900.00
"Department of Energy",6134112.05
"Department of Energy",1608535.85
"Department of Energy",3499312.94
"Department of Energy",1640435.21
"Department of Energy",5755170.68
"Department of Energy",2274.85
"Department of Energy",22817323.51
"Department of Energy",435110.99
"Department of Energy",641950.43
"Department of Energy",46538.00
"Department of Energy",4799762.60
"Department of Energy",37822976.15
